Data,Hora UTC,PRECIPITACAO TOTAL. HORARIO (mm),PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA (mB),PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),TEMPERATURA DO AR - BULBO SECO. HORARIA (Celsius),TEMPERATURA DO PONTO DE ORVALHO (Celsius),TEMPERATURA MAXIMA NA HORA ANT. (AUT) (Celsius),TEMPERATURA MAXIMA NA HORA ANT. (AUT) (Celsius).1,TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (Celsius),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (Celsius),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),UMIDADE RELATIVA DO AR. HORARIA (%),VENTO. DIRECAO HORARIA (gr) ((gr)),VENTO. RAJADA MAXIMA (m/s),VENTO. VELOCIDADE HORARIA (m/s);
2020/11/29,0700 UTC,0.0,884.0,884.1,883.7,16.8,15.3,17.3,16.7,15.7,15.1,91.0,89.0,91.0,97.0,10.0,6.7
2020/11/29,0800 UTC,0.0,884.3,884.3,883.8,16.6,15.1,16.8,16.5,15.3,15.0,91.0,90.0,91.0,102.0,9.9,7.0
2020/11/29,0900 UTC,0.0,884.5,884.5,884.1,16.5,15.0,16.7,16.3,15.2,14.9,92.0,90.0,91.0,99.0,10.6,7.1
2020/11/29,1000 UTC,0.0,885.3,885.3,884.5,18.5,15.2,18.7,16.5,15.4,14.6,91.0,79.0,81.0,106.0,12.7,7.8
2020/11/29,1100 UTC,0.0,885.7,885.7,885.3,20.5,15.1,20.5,18.3,15.4,14.2,81.0,71.0,71.0,88.0,12.2,5.1
2020/11/29,1200 UTC,0.0,886.1,886.1,885.7,22.9,14.7,23.7,20.5,15.9,13.9,71.0,58.0,60.0,86.0,10.4,4.4
2020/11/29,1300 UTC,0.0,886.4,886.4,886.1,21.8,15.3,23.9,21.4,15.7,14.1,67.0,59.0,67.0,97.0,10.6,6.2
2020/11/29,1400 UTC,0.0,886.1,886.4,886.1,23.3,15.9,24.4,21.8,16.9,14.8,67.0,60.0,63.0,112.0,9.6,5.0
2020/11/29,1500 UTC,0.0,885.3,886.1,885.3,22.8,14.9,25.8,22.4,17.0,14.4,66.0,55.0,61.0,52.0,8.9,5.6
2020/11/29,1600 UTC,0.0,884.9,885.3,884.9,24.9,16.2,26.0,22.6,17.5,14.4,66.0,55.0,58.0,56.0,8.9,2.9
2020/11/29,1700 UTC,0.0,883.7,884.9,883.7,26.9,14.7,27.3,23.2,16.4,14.0,61.0,46.0,47.0,78.0,7.5,3.8
2020/11/29,1800 UTC,0.0,883.0,883.7,883.0,23.6,13.2,27.0,23.6,15.3,13.1,53.0,46.0,52.0,51.0,7.5,4.0
2020/11/29,1900 UTC,0.0,882.5,883.0,882.5,25.0,14.6,26.7,23.6,15.1,13.1,55.0,45.0,52.0,45.0,7.2,2.1
2020/11/29,2000 UTC,0.0,882.4,882.5,882.3,23.1,14.2,25.5,23.0,15.0,13.4,57.0,49.0,57.0,49.0,6.8,3.6
2020/11/29,2100 UTC,0.0,882.5,882.5,882.2,22.3,14.6,23.8,22.3,14.6,13.8,62.0,55.0,62.0,56.0,6.2,3.8
2020/11/29,2200 UTC,0.0,883.0,883.0,882.5,21.3,14.6,22.3,21.1,14.7,14.1,66.0,62.0,66.0,95.0,8.3,6.2
2020/11/29,2300 UTC,0.0,883.5,883.6,883.0,20.3,15.4,21.3,20.3,15.4,14.6,74.0,66.0,74.0,100.0,10.3,6.9
2020/11/30,0000 UTC,0.0,883.8,883.8,883.5,19.5,15.8,20.3,19.4,15.8,15.5,80.0,74.0,80.0,110.0,10.7,7.1
2020/11/30,0100 UTC,0.0,884.4,884.4,883.8,18.7,15.6,19.5,18.7,15.9,15.6,83.0,80.0,82.0,119.0,10.7,6.1
2020/11/30,0200 UTC,0.0,883.8,884.4,883.8,18.1,15.1,18.7,18.1,15.6,15.1,83.0,82.0,82.0,119.0,11.0,7.2
2020/11/30,0300 UTC,0.0,883.6,883.9,883.5,17.3,15.0,18.1,17.3,15.1,14.9,87.0,82.0,87.0,122.0,10.5,5.2
2020/11/30,0400 UTC,0.0,882.7,883.6,882.6,17.0,15.3,17.3,17.0,15.4,15.0,90.0,87.0,90.0,123.0,9.1,6.3
2020/11/30,0500 UTC,0.0,882.0,882.7,882.0,16.5,15.3,17.0,16.5,15.5,15.3,92.0,90.0,92.0,126.0,10.1,7.4
2020/11/30,0600 UTC,0.0,881.6,882.0,881.5,16.5,15.2,16.6,16.5,15.3,15.1,92.0,92.0,92.0,118.0,12.6,9.6
2020/11/30,0700 UTC,0.0,881.5,881.7,881.3,16.4,15.1,16.5,16.3,15.2,15.0,92.0,92.0,92.0,117.0,14.4,11.0
2020/11/30,0800 UTC,0.0,881.8,881.8,881.4,16.2,14.9,16.4,16.2,15.1,14.9,92.0,91.0,92.0,122.0,13.7,7.4
2020/11/30,0900 UTC,0.0,882.5,882.6,881.7,17.5,15.5,17.5,16.2,15.6,14.9,93.0,88.0,88.0,116.0,12.8,7.9
2020/11/30,1000 UTC,0.0,883.1,883.1,882.5,19.9,16.3,19.9,17.5,16.3,15.5,88.0,79.0,80.0,105.0,11.6,5.7
2020/11/30,1100 UTC,0.0,883.7,883.7,883.1,22.5,17.0,22.5,19.9,17.1,15.8,80.0,70.0,71.0,112.0,9.1,4.8
2020/11/30,1200 UTC,0.0,884.4,884.4,883.7,24.0,17.0,24.4,22.6,17.6,16.0,71.0,62.0,65.0,100.0,7.7,4.3
2020/11/30,1300 UTC,0.0,884.4,884.6,884.3,23.7,16.2,24.8,22.9,17.4,15.8,68.0,61.0,63.0,47.0,7.1,2.3
2020/11/30,1400 UTC,0.0,884.0,884.4,884.0,25.7,16.7,26.1,22.5,17.8,15.4,67.0,58.0,58.0,58.0,7.2,3.1
2020/11/30,1500 UTC,0.0,883.4,884.0,883.4,24.3,16.1,26.9,23.8,18.1,15.2,64.0,54.0,60.0,18.0,6.3,1.8
