Data Medicao,Hora Medicao,PRECIPITACAO TOTAL. HORARIO(mm),PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO. HORARIA(mB),PRESSAO ATMOSFERICA REDUZIDA NIVEL DO MAR. AUT(mB),PRESSAO ATMOSFERICA MAX.NA HORA ANT. (AUT)(mB),PRESSAO ATMOSFERICA MIN. NA HORA ANT. (AUT)(mB),TEMPERATURA DA CPU DA ESTACAO(Celsius),TEMPERATURA DO AR - BULBO SECO. HORARIA(Celsius),TEMPERATURA DO PONTO DE ORVALHO(°C),TEMPERATURA MAXIMA NA HORA ANT. (AUT)(Celsius),TEMPERATURA MINIMA NA HORA ANT. (AUT)(Celsius),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT)(Celsius),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT)(Celsius),TENSAO DA BATERIA DA ESTACAO(V),UMIDADE REL. MAX. NA HORA ANT. (AUT)(%),UMIDADE REL. MIN. NA HORA ANT. (AUT)(%),UMIDADE RELATIVA DO AR. HORARIA(%),VENTO DIRECAO HORARIA (gr)(° (gr)),VENTO. RAJADA MAXIMA(m/s),VENTO. VELOCIDADE HORARIA(m/s);
2021-07-01,0,0,885.6,1023.8544052460059,885.6,885.2,18,14.9,8.5,17.7,14.9,8.6,6.8,12.6,66,49,66,138,7.0,5.3
2021-07-01,100,0,886.1,1023.9391099999999,886.1,885.6,17,14.2,9.5,14.9,14.1,9.5,8.5,12.6,73,66,73,132,8.1,6.3
2021-07-01,200,0,886.0,1024.444509,886.1,885.9,16,13.0,9.7,14.2,13.0,9.7,9.5,12.6,80,73,80,125,9.4,7.0
2021-07-01,300,0,885.9,1024.589237,886.1,885.9,15,12.5,9.9,13.0,12.5,10.1,9.5,12.6,85,80,85,126,10.6,8.9
2021-07-01,400,0,885.7,1024.462319,886.0,885.6,14,12.3,10.2,12.5,12.0,10.3,9.7,12.6,87,85,87,130,11.2,9.1
2021-07-01,500,0,885.6,1024.398901,885.8,885.6,14,12.2,10.2,12.4,12.1,10.4,10.1,12.5,88,87,88,125,12.5,9.2
2021-07-01,600,0,885.4,1024.167555,885.6,885.3,14,12.2,10.3,12.3,12.1,10.4,10.2,12.5,89,88,89,125,14.7,10.0
2021-07-01,700,0,885.5,1024.545033,885.7,885.3,14,11.7,9.9,12.2,11.7,10.3,9.9,12.5,89,89,89,135,15.2,10.8
2021-07-01,800,0,885.9,1025.112889,885.9,885.4,13,11.5,9.7,11.7,11.5,10.0,9.7,12.5,89,89,89,138,15.2,10.1
2021-07-01,900,0,886.4,1026.11347,886.4,885.7,13,10.7,9.0,11.5,10.7,9.7,9.0,12.4,89,89,89,129,17.0,11.8
